"date","pollster","sample","bulstrode","lydgate","vincy","casaubon","chettam","others","overseas","alternate"
2024-02-14,"Verity Insights",1486,0.345,0.354,0.194,0.047,NA,0.06,0,0
2024-02-12,"Mandate Metrics",1916,0.292,0.332,0.224,0.076,NA,0.076,1,0
2024-02-12,"DemocracyMeter",713,0.33,0.37,0.18,0.08,NA,0.05,0,0
2024-02-11,"Civic Pulse",2552,0.33,0.3,0.2,0.1,NA,0.07,0,0
2024-02-10,"Policy Voice Polling",1511,0.323,0.34,0.186,0.108,NA,0.043,0,0
2024-02-10,"Mawmsey Reports",3144,0.328,0.324,0.199,0.083,NA,0.065,0,0
2024-02-09,"Bardi University",666,0.328,0.305,0.223,NA,NA,0.145,0,0
2024-02-07,"Verity Insights",1521,0.341,0.307,0.175,0.088,NA,0.09,0,0
2024-02-07,"Capitol Opinion Research",1020,0.296,0.372,0.204,0.104,NA,0.025,0,0
2024-02-05,"DemocracyMeter",702,0.32,0.33,0.21,0.08,NA,0.06,0,0
2024-02-03,"Policy Voice Polling",1475,0.312,0.338,0.201,0.086,0.023,0.039,0,0
2024-02-03,"Bardi University",697,0.289,0.341,0.231,NA,NA,0.139,0,0
2024-02-01,"Pulse Analytics",2085,0.319,0.332,0.2,0.102,NA,0.048,0,0
2024-01-31,"Verity Insights",1452,0.296,0.366,0.202,0.055,NA,0.081,0,0
2024-01-29,"Mandate Metrics",1930,0.338,0.347,0.203,NA,NA,0.112,1,0
2024-01-29,"DemocracyMeter",759,0.29,0.35,0.2,0.06,NA,0.09,0,0
2024-01-28,"Civic Pulse",2531,0.33,0.32,0.2,0.07,NA,0.08,0,0
2024-01-28,"Bardi University",669,0.304,0.364,0.189,NA,NA,0.143,0,0
2024-01-27,"Policy Voice Polling",1466,0.316,0.351,0.173,0.085,0.038,0.037,0,0
2024-01-26,"University of Bellville-sur-Mer",1627,0.318,0.311,0.205,0.064,0.041,0.06,0,0
2024-01-26,"University of Bellville-sur-Mer",1627,0.332,0.325,0.214,0.067,NA,0.063,0,1
2024-01-24,"Verity Insights",1545,0.303,0.381,0.181,0.052,NA,0.082,0,0
2024-01-24,"Capitol Opinion Research",1009,0.294,0.35,0.171,0.071,NA,0.116,0,0
2024-01-22,"DemocracyMeter",740,0.33,0.33,0.2,0.06,NA,0.08,0,0
2024-01-22,"Bardi University",656,0.295,0.336,0.212,0.083,NA,0.075,0,0
2024-01-20,"Policy Voice Polling",1538,0.336,0.342,0.179,0.065,NA,0.078,0,0
2024-01-18,"Pulse Analytics",2164,0.315,0.338,0.202,0.058,NA,0.087,0,0
2024-01-17,"Verity Insights",1541,0.302,0.301,0.241,0.057,NA,0.099,0,0
2024-01-16,"Bardi University",710,0.313,0.302,0.176,0.054,NA,0.155,0,0
2024-01-15,"Mandate Metrics",2031,0.335,0.299,0.191,0.107,NA,0.068,1,0
2024-01-15,"DemocracyMeter",742,0.3,0.34,0.18,0.09,NA,0.09,0,0
2024-01-14,"Civic Pulse",2640,0.31,0.31,0.19,0.07,NA,0.11,0,0
2024-01-13,"Policy Voice Polling",1441,0.266,0.36,0.204,0.059,NA,0.111,0,0
2024-01-11,"Mawmsey Reports",3076,0.351,0.308,0.191,0.07,NA,0.08,0,0
2024-01-10,"Verity Insights",1473,0.315,0.31,0.211,0.076,NA,0.089,0,0
2024-01-10,"Capitol Opinion Research",997,0.304,0.332,0.178,0.047,NA,0.138,0,0
2024-01-10,"Bardi University",679,0.314,0.303,0.181,0.117,NA,0.085,0,0
2024-01-08,"DemocracyMeter",738,0.34,0.33,0.2,0.06,NA,0.07,0,0
2024-01-06,"Policy Voice Polling",1470,0.34,0.318,0.17,0.055,NA,0.117,0,0
2024-01-04,"Pulse Analytics",2064,0.306,0.313,0.207,0.082,0.029,0.064,0,0
2024-01-04,"Bardi University",659,0.324,0.334,0.179,0.065,NA,0.098,0,0
2023-12-30,"Policy Voice Polling",1391,0.318,0.341,0.177,0.088,0.029,0.049,0,0
2023-12-18,"Mandate Metrics",1944,0.37,0.321,0.126,0.103,0.026,0.054,1,0
2023-12-18,"DemocracyMeter",756,0.37,0.29,0.13,0.1,0.05,0.06,0,0
2023-12-17,"Civic Pulse",2662,0.37,0.34,0.11,0.1,0.03,0.04,0,0
2023-12-17,"Bardi University",704,0.385,0.302,0.088,0.098,NA,0.127,0,0
2023-12-16,"Policy Voice Polling",1519,0.387,0.333,0.104,0.112,0.027,0.038,0,0
2023-12-13,"Verity Insights",1584,0.385,0.294,0.126,0.129,0.034,0.033,0,0
2023-12-13,"Capitol Opinion Research",1039,0.388,0.301,0.118,0.11,0.018,0.065,0,0
2023-12-12,"Mawmsey Reports",3097,0.372,0.326,0.087,0.118,0.031,0.067,0,0
2023-12-11,"DemocracyMeter",729,0.35,0.33,0.13,0.12,0.05,0.02,0,0
2023-12-11,"Bardi University",699,0.342,0.33,NA,0.128,0.062,0.138,0,0
2023-12-09,"Policy Voice Polling",1525,0.356,0.291,0.097,0.137,0.053,0.065,0,0
2023-12-07,"Pulse Analytics",1999,0.421,0.309,0.077,0.091,0.057,0.046,0,0
2023-12-06,"Verity Insights",1539,0.385,0.291,NA,0.138,0.061,0.125,0,0
2023-12-05,"Bardi University",680,0.385,0.308,NA,0.143,0.049,0.115,0,0
2023-12-04,"Mandate Metrics",1922,0.398,0.293,0.066,0.114,0.066,0.063,1,0
2023-12-04,"DemocracyMeter",758,0.42,0.32,0.06,0.12,0.02,0.05,0,0
2023-12-03,"Civic Pulse",2556,0.38,0.29,0.06,0.14,0.1,0.04,0,0
2023-12-02,"Policy Voice Polling",1465,0.39,0.298,0.055,0.117,0.069,0.07,0,0
2023-12-01,"University of Bellville-sur-Mer",1635,0.385,0.34,0.085,0.114,0.056,0.021,0,0
2023-11-29,"Verity Insights",1477,0.385,0.308,0.07,0.13,0.044,0.063,0,0
2023-11-29,"Capitol Opinion Research",981,0.368,0.323,0.086,0.092,0.07,0.061,0,0
2023-11-29,"Bardi University",676,0.379,0.317,NA,0.081,0.082,0.141,0,0
2023-11-27,"DemocracyMeter",710,0.35,0.32,NA,0.14,0.12,0.08,0,0
2023-11-25,"Policy Voice Polling",1506,0.369,0.341,0.061,0.092,0.113,0.023,0,0
2023-11-23,"Pulse Analytics",2096,0.403,0.32,0.03,0.137,0.074,0.036,0,0
2023-11-23,"Bardi University",677,0.398,0.335,NA,0.084,0.092,0.091,0,0
2023-11-22,"Verity Insights",1529,0.402,0.306,0.046,0.087,0.095,0.064,0,0
2023-11-20,"Mandate Metrics",2020,0.358,0.337,NA,0.117,0.084,0.104,1,0
2023-11-20,"DemocracyMeter",733,0.34,0.29,NA,0.11,0.15,0.1,0,0
2023-11-19,"Civic Pulse",2569,0.38,0.32,0.02,0.09,0.15,0.04,0,0
2023-11-18,"Policy Voice Polling",1419,0.638,0.286,0.038,0.152,0.098,0.057,0,0
2023-11-17,"Bardi University",686,0.35,0.314,NA,0.13,0.108,0.099,0,0
2023-11-15,"Verity Insights",1515,0.318,0.323,0.05,0.124,0.121,0.065,0,0
2023-11-15,"Capitol Opinion Research",1000,0.326,0.331,0.093,0.141,0.044,0.064,0,0
2023-11-13,"DemocracyMeter",765,0.34,0.31,NA,0.15,0.1,0.1,0,0
2023-11-12,"Mawmsey Reports",3065,0.384,0.314,NA,0.123,0.101,0.077,0,0
2023-11-11,"Policy Voice Polling",1519,0.345,0.33,0.037,0.15,0.1,0.037,0,0
2023-11-11,"Bardi University",689,0.345,0.308,NA,0.126,0.109,0.112,0,0
2023-11-09,"Pulse Analytics",2094,0.344,0.306,0.057,0.133,0.136,0.025,0,0
2023-11-08,"Verity Insights",1563,0.327,0.316,0.059,0.153,0.131,0.014,0,0
2023-11-06,"Mandate Metrics",1950,0.352,0.334,NA,0.151,0.09,0.073,1,0
2023-11-06,"DemocracyMeter",749,0.31,0.32,NA,0.15,0.11,0.11,0,0
2023-11-05,"Civic Pulse",2559,0.35,0.32,0.02,0.15,0.1,0.07,0,0
2023-11-05,"Bardi University",650,0.327,0.318,NA,0.2,NA,0.155,0,0
2023-11-04,"Policy Voice Polling",1398,0.339,0.339,0.047,0.139,0.123,0.012,0,0
2023-11-03,"University of Bellville-sur-Mer",1556,0.337,0.313,0.071,0.151,0.091,0.036,0,0
2023-11-01,"Verity Insights",1473,0.321,0.326,NA,0.14,0.101,0.112,0,0
2023-11-01,"Capitol Opinion Research",1053,0.355,0.323,NA,0.131,0.097,0.093,0,0
2023-10-30,"DemocracyMeter",713,0.32,0.33,NA,0.13,0.1,0.11,0,0
2023-10-30,"Bardi University",669,0.323,0.325,NA,0.161,0.109,0.083,0,0
2023-10-28,"Policy Voice Polling",1469,0.296,0.37,0.068,0.166,0.06,0.04,0,0
2023-10-26,"Pulse Analytics",2002,0.296,0.324,NA,0.166,0.094,0.12,0,0
2023-10-25,"Verity Insights",1499,0.273,0.351,0.07,0.192,0.058,0.055,0,0
2023-10-24,"Bardi University",706,0.292,0.373,NA,0.134,0.127,0.074,0,0
2023-10-23,"Mandate Metrics",1894,0.281,0.347,0.057,0.162,0.115,0.038,1,0
2023-10-23,"DemocracyMeter",724,0.3,0.35,NA,0.15,0.09,0.1,0,0
2023-10-22,"Civic Pulse",2769,0.27,0.37,NA,0.2,0.08,0.07,0,0
2023-10-21,"Policy Voice Polling",1404,0.305,0.348,0.08,0.147,0.086,0.035,0,0
2023-10-18,"Verity Insights",1488,0.329,0.383,NA,0.137,0.068,0.083,0,0
2023-10-18,"Capitol Opinion Research",1048,0.292,0.363,0.035,0.161,0.1,0.049,0,0
2023-10-18,"Bardi University",709,0.32,0.376,NA,0.141,0.085,0.078,0,0
2023-10-16,"DemocracyMeter",724,0.32,0.36,NA,0.13,0.12,0.06,0,0
2023-10-14,"Policy Voice Polling",1427,0.296,0.388,NA,0.176,0.077,0.063,0,0
2023-10-13,"Mawmsey Reports",3154,0.303,0.377,NA,0.151,0.086,0.083,0,0
2023-10-12,"Pulse Analytics",2033,0.323,0.37,NA,0.128,0.086,0.093,0,0
2023-10-12,"Bardi University",683,0.307,0.405,NA,0.117,NA,0.171,0,0
2023-10-11,"Verity Insights",1576,0.333,0.389,NA,0.156,0.056,0.066,0,0
